,$Key,$MasterId,$AlterID,$VoucherNumber,$Date,$VoucherTypeName,$Led_Lineno,$Type,$LedgerName,$Amount,$Led_Parent,$Led_Group,$Party_LedName,$Vch_GSTIN,$Led_GSTIN,$Party_GST_Type,$GST_Classification,$Narration,$EnteredBy,$LastEventinVoucher,$UpdatedDate,$UpdatedTime,$Nature_Led,$Led_MID,$CompanyName,$Year_from,$Year_to,$Company_number,$Path,VendorPartyName,ExpenseLedgerName,SaleLedgerName
0,SAP Journal-^^-41345-^^-0100000000,41345.0,45049.0,0100000000,2024-04-01,SAP Journal,1.0,Debit,6603030101/FIN CO-EX GA-OUT G/L,-101273.53,Indirect Expenses,Indirect Expenses,1122020099/TRADE REC-OG-EX,,,,,Valuation 0090001478 1 2023 Reversal,,Create,2024-11-05,131839000.0,PL,259.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,1122020099/TRADE REC-OG-EX,"6603030101/FIN CO-EX GA-OUT G/L, 6603040201/FIN CO-LO ON EX G/L",
1,SAP Journal-^^-41345-^^-0100000000,41345.0,45049.0,0100000000,2024-04-01,SAP Journal,2.0,Credit,1122020099/TRADE REC-OG-EX,101273.53,Sundry Debtors,Sundry Debtors,1122020099/TRADE REC-OG-EX,,,,,Valuation 0090001478 1 2023 Reversal,,Create,2024-11-05,131839000.0,BS,260.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,1122020099/TRADE REC-OG-EX,"6603030101/FIN CO-EX GA-OUT G/L, 6603040201/FIN CO-LO ON EX G/L",
2,SAP Journal-^^-41345-^^-0100000000,41345.0,45049.0,0100000000,2024-04-01,SAP Journal,3.0,Credit,6603040201/FIN CO-LO ON EX G/L,6428.8,Indirect Expenses,Indirect Expenses,1122020099/TRADE REC-OG-EX,,,,,Valuation 0090001478 1 2023 Reversal,,Create,2024-11-05,131839000.0,PL,261.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,1122020099/TRADE REC-OG-EX,"6603030101/FIN CO-EX GA-OUT G/L, 6603040201/FIN CO-LO ON EX G/L",
3,SAP Journal-^^-41345-^^-0100000000,41345.0,45049.0,0100000000,2024-04-01,SAP Journal,4.0,Debit,1122020099/TRADE REC-OG-EX,-6428.8,Sundry Debtors,Sundry Debtors,1122020099/TRADE REC-OG-EX,,,,,Valuation 0090001478 1 2023 Reversal,,Create,2024-11-05,131839000.0,BS,260.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,1122020099/TRADE REC-OG-EX,"6603030101/FIN CO-EX GA-OUT G/L, 6603040201/FIN CO-LO ON EX G/L",
4,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,1.0,Credit,6603040201/FIN CO-LO ON EX G/L,597.39,Indirect Expenses,Indirect Expenses,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,PL,261.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
5,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,2.0,Debit,2202010099/ACC PAY IG EX RE,-597.39,Sundry Creditors,Sundry Creditors,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,BS,2448.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
6,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,3.0,Debit,6603030101/FIN CO-EX GA-OUT G/L,-20261.87,Indirect Expenses,Indirect Expenses,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,PL,259.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
7,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,4.0,Credit,2202010099/ACC PAY IG EX RE,20261.87,Sundry Creditors,Sundry Creditors,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,BS,2448.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
8,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,5.0,Credit,6603040201/FIN CO-LO ON EX G/L,165491.18,Indirect Expenses,Indirect Expenses,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,PL,261.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
9,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,6.0,Debit,2202010099/ACC PAY IG EX RE,-165491.18,Sundry Creditors,Sundry Creditors,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,BS,2448.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
10,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,7.0,Credit,6603040201/FIN CO-LO ON EX G/L,4099.77,Indirect Expenses,Indirect Expenses,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,PL,261.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
11,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,8.0,Debit,2202010099/ACC PAY IG EX RE,-4099.77,Sundry Creditors,Sundry Creditors,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,BS,2448.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
12,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,9.0,Credit,6603040201/FIN CO-LO ON EX G/L,67.75,Indirect Expenses,Indirect Expenses,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,PL,261.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
13,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,10.0,Debit,2202010099/ACC PAY IG EX RE,-67.75,Sundry Creditors,Sundry Creditors,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,BS,2448.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
14,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,11.0,Credit,6603040201/FIN CO-LO ON EX G/L,4936.28,Indirect Expenses,Indirect Expenses,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,PL,261.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
15,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,12.0,Debit,2202010099/ACC PAY IG EX RE,-4936.28,Sundry Creditors,Sundry Creditors,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,BS,2448.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
16,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,13.0,Credit,6603040201/FIN CO-LO ON EX G/L,20787.5,Indirect Expenses,Indirect Expenses,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,PL,261.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
17,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,14.0,Debit,2202010099/ACC PAY IG EX RE,-20787.5,Sundry Creditors,Sundry Creditors,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,BS,2448.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
18,SAP Journal-^^-41346-^^-0100000001,41346.0,45050.0,0100000001,2024-04-01,SAP Journal,15.0,Credit,6603040201/FIN CO-LO ON EX G/L,1501.7,Indirect Expenses,Indirect Expenses,2202010099/ACC PAY IG EX RE,,,,,Valuation 0100000801 3 2023 Reversal,,Create,2024-11-05,131839000.0,PL,261.0,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,2202010099/ACC PAY IG EX RE,"6603040201/FIN CO-LO ON EX G/L, 6603030101/FIN CO-EX GA-OUT G/L",
